start:320
end:800
wavelength#coldwhite,red,blue,purple,warmwhite
676#0.001545,0.000036,0.000004,0.000003,0.003426
677#0.001562,0.000034,0,0.000003,0.003339
678#0.001503,0.00004,0.000004,0.000004,0.003208
679#0.001497,0.00004,0,0.000004,0.003132
680#0.001437,0.000044,0,0.000004,0.003083
681#0.0014,0.000051,0.000005,0.000005,0.002976
682#0.001299,0.000053,0,0.000001,0.002896
683#0.001352,0.000046,0.000002,0,0.002814
684#0.001251,0.000058,0.000002,0.000004,0.002717
685#0.001285,0.000065,0.000003,0.000008,0.002632
686#0.001284,0.000059,0,0.000002,0.002564
687#0.001151,0.00007,0.000002,0.000005,0.002489
688#0.001145,0.000077,0,0.000002,0.002405
689#0.0011,0.00008,0.000003,0.000001,0.002319
690#0.001129,0.000092,0.000001,0.000004,0.002283
691#0.001118,0.000101,0,0.000003,0.002185
692#0.001054,0.000102,0.000005,0.000002,0.002147
693#0.001027,0.000107,0.000001,0.000002,0.002087
694#0.000951,0.000128,0,0.000004,0.002009
695#0.000969,0.00013,0.000002,0.000001,0.00197
696#0.000962,0.000149,0.000004,0.00001,0.001911
697#0.000876,0.000159,0.000001,0.000004,0.001843
698#0.00091,0.000188,0,0.000009,0.00178
699#0.000894,0.000184,0.000001,0.000008,0.001736
700#0.000939,0.000197,0,0,0.0017
701#0.000812,0.000222,0.000001,0.00001,0.001612
702#0.000888,0.000235,0,0,0.001577
703#0.000785,0.000257,0.000002,0,0.001547
704#0.000861,0.000269,0.000004,0.000004,0.001471
705#0.000781,0.000301,0,0.000005,0.001441
706#0.000751,0.000318,0.000003,0,0.001399
707#0.000742,0.000346,0,0.000004,0.001326
708#0.000639,0.000383,0.000001,0.000011,0.001316
709#0.000778,0.000424,0.000001,0.000002,0.001272
710#0.000739,0.000446,0.000005,0.000008,0.001235
711#0.000662,0.000486,0,0,0.001184
712#0.000643,0.000515,0,0,0.001136
713#0.000609,0.000575,0.000007,0.000007,0.001143
714#0.000588,0.000606,0,0.000001,0.001068
715#0.000557,0.000676,0.000001,0.000001,0.001076
716#0.00062,0.000715,0.000001,0.000002,0.001016
717#0.000572,0.000788,0,0,0.001007
718#0.000589,0.000848,0.000006,0.000004,0.000952
719#0.000586,0.000891,0,0.000003,0.000931
720#0.000486,0.000991,0.000005,0.000002,0.000904
721#0.000598,0.001043,0,0.000005,0.000871
722#0.000544,0.001135,0,0.000011,0.000851
723#0.000523,0.001219,0,0,0.000809
724#0.000525,0.001312,0.000004,0.000009,0.000803
725#0.000506,0.001424,0.000002,0.000004,0.00078
726#0.000476,0.001537,0,0,0.000749
727#0.000434,0.001637,0.000015,0.000004,0.000729
728#0.000455,0.001767,0,0,0.000696
729#0.000439,0.001934,0,0.000002,0.000677
730#0.000446,0.002019,0.000013,0.000004,0.000651
731#0.000415,0.002226,0,0.000007,0.000639
732#0.000431,0.002334,0.000003,0.000002,0.000635
733#0.000409,0.002483,0,0,0.000599
734#0.00037,0.002689,0.000001,0.000001,0.000593
735#0.000362,0.002862,0.000004,0.000004,0.000563
736#0.000383,0.003046,0.000001,0.000002,0.000545
737#0.000323,0.003154,0,0.000002,0.000514
738#0.000264,0.003352,0,0,0.000513
739#0.000286,0.003481,0,0,0.000491
740#0.000301,0.003603,0.000003,0.000006,0.00048
741#0.000253,0.00371,0.000005,0.000003,0.000471
742#0.000341,0.003683,0,0.000002,0.000442
743#0.000329,0.003661,0.000001,0.000003,0.000436
744#0.000304,0.003567,0.000003,0,0.000422
745#0.000331,0.003407,0.00001,0.000013,0.000423
746#0.000293,0.003213,0,0.000004,0.000403
747#0.000353,0.002944,0,0.000004,0.000378
748#0.00027,0.002689,0.00001,0.000005,0.000379
749#0.000333,0.002398,0.000012,0.000019,0.000364
750#0.000281,0.00215,0,0,0.000355
751#0.000244,0.001898,0.000005,0.000006,0.00034
752#0.000243,0.001663,0,0,0.00032
753#0.000268,0.001483,0.000001,0.000006,0.00032
754#0.000338,0.001269,0.000001,0,0.000317
755#0.000238,0.001125,0.000014,0.000016,0.000311
756#0.000239,0.000966,0,0.000002,0.00029
757#0.000206,0.000828,0.000002,0.000002,0.000289
758#0.000207,0.000719,0.000007,0.000006,0.000282
759#0.000246,0.000584,0,0.000001,0.000264
760#0.000167,0.000504,0,0.000009,0.000262
761#0.000219,0.000444,0.000001,0.000008,0.000243
762#0.00012,0.000376,0,0.000001,0.000244
763#0.000199,0.000306,0.000005,0,0.00024
764#0.000229,0.000259,0,0.000007,0.000224
765#0.000169,0.000218,0.000003,0,0.000234
766#0.000213,0.000173,0,0,0.000224
767#0.000158,0.00017,0,0.000004,0.000201
768#0.000209,0.000143,0,0,0.000188
769#0.000226,0.000126,0.000005,0.000003,0.000195
770#0.000196,0.000121,0.000005,0,0.000192
771#0.000217,0.000094,0,0,0.000192
772#0.000157,0.000074,0.000007,0.000006,0.000185
773#0.000207,0.000065,0.000002,0,0.000169
774#0.000181,0.000068,0,0.000002,0.000166
775#0.00017,0.000058,0.00001,0.000006,0.000163
776#0.00016,0.000043,0,0,0.000148
777#0.000203,0.000043,0.000003,0.000001,0.000134
778#0.000231,0.000033,0.000002,0,0.000141
779#0.000164,0.000027,0.000004,0,0.000139
780#0.000198,0.000028,0.000001,0.000002,0.000129
781#0.000107,0.000023,0.000005,0.000006,0.000146
782#0.000183,0.00002,0.000001,0.000003,0.000123
783#0.000129,0.000014,0,0,0.000116
784#0.000134,0.000011,0,0.000004,0.000126
785#0.000125,0.000015,0,0.000001,0.000111
786#0.00015,0.000023,0,0,0.000111
787#0.000069,0.00001,0.000008,0.000001,0.000112
788#0.000143,0.000014,0,0,0.000105
789#0.00012,0.000013,0,0.000006,0.000105
790#0.000125,0.000006,0.000002,0,0.000105
791#0.000131,0,0,0,0.000083
792#0.000122,0.000017,0.000005,0.000006,0.000095
793#0.000112,0.000015,0.000009,0.000007,0.000104
794#0.000177,0.000008,0.000005,0.000003,0.000089
795#0.000131,0.00001,0,0,0.00009
796#0.000036,0.000005,0,0.000008,0.000092
797#0.0002,0.000007,0,0.000005,0.000077
798#0.000103,0.000004,0,0.000002,0.000074
799#0.000105,0.000002,0,0,0.000064
800#0.000073,0,0,0,0.000059
801#0.000189,0.005889,0.009349,0.021525,0.015347
802#0.002138,0,0,0,0
803#0.002046,0,0,0,0
804#0.002313,0,0,0,0
805#0.002198,0,0,0,0.001934
806#0.002402,0,0,0,0
807#0.002223,0,0,0,0
808#0.002437,0,0,0,0
809#0.00259,0,0,0,0
810#0.002754,0,0,0,0
811#0.002662,0,0,0,0
812#0.002521,0,0,0,0
813#0.002769,0,0,0,1.42737E+17
814#0.002667,0,0,0,0
815#0.003013,0,0,0,-1.39394E+14
816#0.002568,0,0,0,0
817#0.002973,0,8.6962E+16,2.00209E+17,0.000008
818#0.002987,0,-1870681.028,0,0
819#0.002865,0,4.2958E+22,0,5.57566E+14
820#0.002897,0,0,0,0
